
Code  3
Dimension   Fixed Cost    Capacity  
   100            100         10   
Facility  Client  Transportation Cost   Demand
     1        2           67.1              4
     1        5           56.4              2
     1        6           54.5              3
     1        8           38.5              4
     1        9           62.5              2
     1       10           69.2              5
     1       11          105.7              5
     1       13          126.9              3
     1       14           16.2              5
     1       15           75.0              4
     1       17           54.7              2
     1       18            9.1              5
     1       20           57.6              1
     1       21           36.7              4
     1       22           59.5              4
     1       23          101.1              5
     1       24           76.5              4
     1       25          134.6              4
     1       29           92.4              3
     1       30           79.5              3
     1       32            5.1              3
     1       33           28.5              3
     1       34           69.3              5
     1       35           83.3              1
     1       37           12.1              5
     1       38           17.5              3
     1       40           48.7              5
     1       42          142.9              5
     1       44            3.8              2
     1       45          118.2              4
     1       46           12.4              3
     1       47            5.2              5
     1       51            6.7              3
     1       52           48.1              2
     1       53           84.2              5
     1       54           45.1              3
     1       56           21.4              5
     1       59           25.0              1
     1       63           35.1              6
     1       64           38.3              4
     1       66          132.0              5
     1       67           96.2              3
     1       68          139.8              4
     1       70          141.8              2
     1       71           54.3              2
     1       72          101.1              6
     1       73           28.2              3
     1       80          114.0              6
     1       81          116.8              2
     1       82          108.1              2
     1       83           82.8              1
     1       84           90.8              3
     1       85           60.8              5
     1       86           21.2              2
     1       87           76.7              5
     1       89          112.1              2
     1       91          128.3              5
     1       92           30.1              1
     1       94           25.0              3
     1       96           71.9              5
     1       97           94.4              2
     1       98           43.1              4
     1       99           86.7              3
     1      100           14.6              1
     2        1           65.5              1
     2        2           82.4              2
     2        3           46.5              3
     2        4           13.8              5
     2        6           16.5              4
     2        7          108.1              6
     2        8           50.3              4
     2       11           94.4              4
     2       12           24.3              6
     2       13           53.4              5
     2       14          102.4              3
     2       15           95.0              3
     2       16           22.2              3
     2       18           80.3              5
     2       19          133.2              4
     2       20          137.7              4
     2       22           55.5              4
     2       23          103.6              2
     2       24          104.1              3
     2       25          132.7              3
     2       26          103.5              4
     2       27           26.7              4
     2       28           65.9              3
     2       29          136.0              2
     2       30          142.9              6
     2       31           40.1              5
     2       32          117.0              1
     2       33           29.7              2
     2       34           58.6              5
     2       35           76.0              2
     2       37           23.2              4
     2       39           44.0              4
     2       40           28.1              2
     2       42            9.2              2
     2       43           28.8              2
     2       44            6.3              3
     2       45          140.7              4
     2       46          108.1              4
     2       47           85.1              4
     2       48           38.8              5
     2       49          109.9              1
     2       54           41.1              4
     2       55           65.7              1
     2       57          130.9              2
     2       59          110.7              2
     2       61           81.1              6
     2       63            5.1              4
     2       64           93.5              2
     2       65           58.7              3
     2       69           71.6              4
     2       70           96.6              2
     2       72           59.4              1
     2       73           54.3              4
     2       74            2.7              4
     2       75           28.9              1
     2       77           99.9              2
     2       79           67.8              5
     2       80           84.7              2
     2       84           45.4              2
     2       87          112.1              3
     2       88           19.9              4
     2       92          125.4              5
     2       93           30.6              6
     2       94            0.4              6
     2       98           15.0              5
     2       99           74.1              2
     2      100           26.5              6
     3        1           86.5              2
     3        4           90.9              3
     3        5           90.4              2
     3        6          116.9              3
     3        7           71.9              5
     3        8           20.1              6
     3       10          126.9              3
     3       11            7.9              4
     3       12           38.4              5
     3       16           21.4              1
     3       17           92.3              3
     3       18           52.8              4
     3       19          107.5              6
     3       21           62.1              3
     3       22           19.9              5
     3       23           80.4              5
     3       24           30.0              5
