
Code  12
Dimension   Fixed Cost    Capacity  
   100            100         10   
Facility  Client  Transportation Cost   Demand
     1        2            8.3              3
     1        3           98.3              1
     1        4          113.7              4
     1        5           66.8              5
     1        7           35.6              3
     1        9           47.2              5
     1       10           23.6              6
     1       12           38.0              5
     1       13          121.7              5
     1       14           31.1              2
     1       15           22.9              2
     1       16           24.4              3
     1       19           26.8              2
     1       20            3.1              6
     1       21          129.7              4
     1       23          128.1              6
     1       24           15.8              5
     1       25           64.0              2
     1       26           38.6              2
     1       28           52.3              3
     1       29           58.7              3
     1       30           78.5              3
     1       31           63.7              5
     1       35           63.2              3
     1       36           72.2              4
     1       37           74.9              6
     1       38           25.8              6
     1       39          134.8              5
     1       40           24.1              5
     1       42          125.5              4
     1       43          131.6              5
     1       44           72.9              1
     1       46           10.3              5
     1       48          111.2              6
     1       49          134.8              3
     1       50          111.5              4
     1       51           81.1              3
     1       52           12.4              2
     1       54           41.8              6
     1       55           68.3              4
     1       58            1.8              3
     1       60           93.6              6
     1       61          141.7              1
     1       62           24.7              6
     1       64           18.6              3
     1       65          131.6              3
     1       66            2.8              5
     1       68           64.2              5
     1       69           89.2              2
     1       70           38.2              4
     1       73           63.4              3
     1       74          101.8              6
     1       75           61.0              6
     1       76           60.4              5
     1       78          110.3              2
     1       79            3.3              1
     1       80           24.4              5
     1       81           39.6              2
     1       86           51.1              4
     1       87          126.0              2
     1       89           22.8              1
     1       91          133.9              1
     1       94           62.8              4
     1       95          140.9              4
     1       96          139.4              1
     1       97          115.7              5
     1       98          128.0              1
     1       99           56.9              4
     1      100           58.6              4
     2        1          129.2              3
     2        2           52.4              5
     2        3           45.4              2
     2        4           86.3              2
     2        6           93.6              1
     2        7           45.7              6
     2        9           29.4              4
     2       11            7.4              5
     2       13           69.8              3
     2       17           31.9              2
     2       21           28.9              5
     2       22           83.9              4
     2       23          119.1              5
     2       24          122.7              4
     2       25           35.0              3
     2       26           66.5              3
     2       27           65.6              3
     2       29           20.2              4
     2       30          133.2              2
     2       31           59.3              2
     2       33            1.9              5
     2       34           81.2              4
     2       35          126.2              2
     2       37           26.6              6
     2       39           34.8              6
     2       40          105.0              2
     2       41          122.3              2
     2       43           86.3              2
     2       45           83.3              4
     2       46           87.4              3
     2       47           36.2              4
     2       51           20.0              3
     2       53            2.4              4
     2       55           18.9              3
     2       56           20.0              4
     2       58           73.4              3
     2       59          130.7              5
     2       60           65.5              4
     2       61          142.8              5
     2       69           47.9              4
     2       70           34.6              6
     2       71          137.4              2
     2       73          120.1              5
     2       74           34.4              4
     2       75           17.2              4
     2       77           16.0              6
     2       79           78.1              2
     2       80          116.1              3
     2       81           83.1              6
     2       82           28.4              6
     2       85          135.0              4
     2       86          134.4              1
     2       89          116.3              4
     2       91          111.2              2
     2       92          110.9              5
     2       93          112.1              2
     2       94          112.7              5
     2       95          128.9              2
     2       96           75.7              3
     2       97          131.2              3
     2       98           28.8              5
     2      100          123.0              3
     3        1          125.4              3
     3        2           61.1              3
     3        3          131.2              4
     3        4          131.8              1
     3        6           13.3              4
     3        7           44.7              4
     3        8           62.9              3
     3        9           13.2              1
     3       10          106.2              3
     3       11           54.4              1
     3       13           24.5              5
     3       15          128.3              5
     3       17           53.5              1
     3       18          101.4              3
     3       20           82.8              5
     3       23           27.2              2
     3       24           14.0              3
     3       26           29.0              5
     3       28           97.9              1
     3       30           50.4              5
     3       34           51.7              3
     3       35           61.2              3
     3       36           15.6              3
     3       37           50.5              4
     3       39           24.4              2
     3       41            7.3              2
     3       43           91.0              2
     3       44           47.4              4
     3       45           12.9              3
     3       46           56.4              6
     3       47          101.5              3
     3       48           27.8              4
     3       50           92.8              4
     3       51           34.5              3
     3       53           21.7              4
     3       56           76.2              4
     3       57          126.7              4
     3       58           62.1              3
     3       60            8.7              1
     3       64           28.9              6
     3       65           92.7              3
     3       67           61.9              4
     3       68            7.1              4
     3       71            0.4              4
     3       72           51.1              4
     3       73           26.9              4
     3       74           15.8              3
     3       75            8.1              4
     3       78          138.8              5
     3       79           87.7              5
     3       80           51.2              5
     3       81          125.7              2
     3       82           24.5              5
     3       83           30.8              3
     3       84          103.4              5
     3       85           26.6              2
     3       86          106.7              2
     3       87          116.4              4
     3       88            8.7              3
     3       90          125.0              2
     3       91           10.8              4
     3       92           90.5              5
     3       93           92.2              3
     3       94          132.6              1
     3       96          110.6              6
     3       98           11.2              1
     4        1           17.6              3
     4        2          109.7              3
     4        3            6.2              5
     4        6          119.4              5
     4        7           78.2              5
     4        8           48.3              4
     4       10           49.1              4
     4       12           15.6              5
     4       15           44.9              2
     4       16           32.6              4
     4       17           94.2              5
     4       18           55.9              5
     4       19           38.3              4
     4       20           10.2              5
     4       21          115.4              1
     4       23           25.1              5
     4       24           38.8              2
     4       25          121.0              4
