
Code  2
Dimension   Fixed Cost    Capacity  
   100            100         10   
Facility  Client  Transportation Cost   Demand
     1        1           49.1              1
     1        3           83.3              3
     1        6           87.4              2
     1        7           77.4              5
     1        8          126.0              1
     1       10          128.0              1
     1       11           86.2              1
     1       12          104.7              4
     1       14          100.1              2
     1       15            1.2              2
     1       17           37.4              2
     1       19           23.5              3
     1       20           75.3              5
     1       21           58.2              5
     1       22           72.2              3
     1       23           50.4              3
     1       24          130.9              5
     1       25           31.2              2
     1       26           91.0              3
     1       27          141.9              4
     1       28           39.0              4
     1       30           12.8              4
     1       31           56.4              2
     1       32          126.7              5
     1       33          133.2              3
     1       34           55.1              5
     1       35           55.5              2
     1       36           12.4              6
     1       37           10.3              1
     1       38          124.4              5
     1       39           10.3              1
     1       40           69.3              5
     1       43            6.4              2
     1       44           42.4              5
     1       45            6.5              1
     1       46           46.8              2
     1       50           44.1              5
     1       51          142.7              5
     1       52          105.0              4
     1       53           33.9              5
     1       54          128.0              1
     1       55           92.9              2
     1       56           79.5              5
     1       57          118.1              6
     1       58          114.1              3
     1       61           24.7              4
     1       62          109.8              2
     1       64           43.2              4
     1       68          114.8              2
     1       69           34.6              5
     1       70           33.9              3
     1       71           71.3              2
     1       72           79.8              3
     1       74           88.9              4
     1       75           95.8              4
     1       76            9.2              5
     1       77          130.7              1
     1       78           52.6              4
     1       79           33.2              2
     1       80           81.6              1
     1       81           28.1              3
     1       82          107.8              3
     1       83           56.8              4
     1       84           75.5              4
     1       85           74.6              3
     1       87          119.4              5
     1       88           47.6              5
     1       90           59.5              5
     1       92          134.4              3
     1       94           48.8              6
     1       95           59.8              2
     1       97          125.8              6
     1       98          136.4              2
     1      100            7.4              3
     2        1           15.8              2
     2        2           59.0              5
     2        3           82.0              5
     2        4           94.8              2
     2        5           74.0              2
     2        6           67.7              5
     2        8           82.6              2
     2        9          130.9              3
     2       10          139.3              1
     2       11          123.1              3
     2       13           74.5              3
     2       14           21.1              3
     2       15           69.2              3
     2       16           21.9              4
     2       17          124.2              5
     2       18          142.3              3
     2       20           37.4              6
     2       21           94.3              6
     2       23           34.2              3
     2       24          135.1              3
     2       26           20.6              4
     2       27           39.4              3
     2       28           28.1              1
     2       29           22.2              1
     2       30           14.3              5
     2       31           77.0              4
     2       32           13.7              3
     2       34          102.3              2
     2       36          105.3              3
     2       38          105.8              6
     2       39          127.2              1
     2       40           10.2              4
     2       43           61.2              2
     2       45           29.9              1
     2       46          111.8              6
     2       47           38.2              1
     2       48           72.5              3
     2       49           96.7              6
     2       51           27.6              6
     2       52          124.7              2
     2       53          121.5              4
     2       56           62.6              6
     2       57           33.6              5
     2       58          115.6              5
     2       59           34.5              3
     2       60           24.1              6
     2       61          120.8              4
     2       62           53.9              3
     2       64          135.3              3
     2       65            0.1              4
     2       67           85.8              6
     2       71          140.0              5
     2       75            8.0              5
     2       76           91.1              3
     2       77           13.9              5
     2       78           99.5              5
     2       79           60.3              5
     2       80            9.1              4
     2       81          133.3              2
     2       85           88.5              4
     2       87           82.4              1
     2       88          100.6              5
     2       89           87.5              3
     2       90           80.2              2
     2       91           22.4              5
     2       96          130.8              1
     2       97          112.6              5
     2       99          142.2              6
     3        1          115.1              3
     3        2          118.7              5
     3        3           67.4              2
     3        4           31.9              4
     3        6           85.5              5
     3        7           47.7              1
     3        9           80.8              3
     3       10           31.8              4
     3       13           83.0              3
     3       14          103.6              2
     3       15          114.0              2
     3       19           81.2              4
     3       20          110.6              6
     3       21           80.2              6
     3       22           90.8              4
     3       23           93.6              2
     3       24           28.8              1
     3       25           66.6              3
     3       26           75.6              5
     3       28           63.8              3
     3       29           52.0              5
     3       30          133.7              5
     3       31            3.7              5
     3       35           71.2              4
     3       36          107.7              5
     3       37           52.8              1
     3       38           30.2              6
     3       39           61.9              2
     3       40           81.7              4
     3       41          110.9              5
     3       42           85.3              3
     3       45            9.7              2
     3       47           62.6              4
     3       51          124.1              3
     3       52           78.4              2
     3       53           94.8              2
     3       55           52.1              3
     3       57           35.0              2
     3       58           45.4              6
     3       59           16.8              4
     3       61          129.1              2
     3       63          105.1              3
     3       66           81.0              5
     3       67           37.6              3
     3       68          115.4              1
     3       70          141.6              5
     3       71            9.8              5
     3       73           88.9              4
     3       76           76.2              3
     3       78           29.0              4
     3       79            1.0              4
     3       81           61.2              1
     3       82            4.1              2
     3       83           47.3              2
     3       84           57.9              4
     3       85           32.6              3
     3       86          140.3              4
     3       87           27.5              6
     3       88           77.7              6
     3       89           89.2              1
     3       90          121.2              2
     3       91          138.7              4
     3       92          101.4              4
     3       93           36.3              5
     3       94           55.2              4
     3       95          113.5              4
     3       96           74.9              5
     3       97            9.6              4
     3       98           45.5              3
     3       99           40.4              2
     3      100          116.9              1
     4        1           16.7              3
     4        2           41.9              4
     4        3            5.8              6
     4        4          118.8              4
     4        5           13.6              2
     4        6           95.4              1
     4        8          111.8              1
     4        9           64.3              5
     4       12           46.5              6
     4       13            7.8              5
     4       15           80.4              4
     4       17           51.3              4
     4       18            0.7              4
     4       20          101.9              1
     4       21           18.3              5
     4       22           32.3              3
     4       23            6.9              6
     4       24          125.4              4
     4       25           68.4              1
     4       26           25.5              3
     4       30           96.2              2
     4       32           92.2              4
     4       33           66.9              6
     4       34          125.8              6
     4       35           98.3              3
     4       38           20.7              6
     4       39          107.4              2
     4       41           45.4              5
     4       42           90.6              4
     4       43           79.0              6
     4       44           37.9              5
     4       45          116.2              2
