
Code  15
Dimension   Fixed Cost    Capacity  
   100            100         10   
Facility  Client  Transportation Cost   Demand
     1        2           36.3              3
     1        4           24.8              2
     1        6           89.4              2
     1        7           93.4              4
     1        8           10.5              5
     1       11           20.9              4
     1       12           25.1              6
     1       13           45.8              3
     1       14            9.8              4
     1       17          139.9              5
     1       19           71.9              3
     1       20          120.6              3
     1       22          119.4              3
     1       23           47.5              3
     1       24           40.7              6
     1       25          104.3              6
     1       26           54.7              4
     1       27           43.7              3
     1       28          132.7              3
     1       29           67.7              6
     1       31           67.4              3
     1       32          139.1              5
     1       34           95.3              3
     1       35           56.6              2
     1       36          120.2              3
     1       38          130.8              5
     1       40           56.8              3
     1       41          137.7              4
     1       44          118.4              5
     1       45          136.0              3
     1       49           29.2              4
     1       51           60.5              4
     1       53           54.3              6
     1       54          119.0              6
     1       55          142.9              3
     1       56           27.7              5
     1       57          102.8              5
     1       58           53.4              6
     1       59            6.4              3
     1       60          123.9              5
     1       61           71.8              3
     1       62           28.8              3
     1       63          112.0              4
     1       64           68.6              3
     1       65           90.3              2
     1       66          136.8              1
     1       67          139.8              2
     1       69          111.1              4
     1       71           26.2              4
     1       73          126.4              3
     1       74           52.6              3
     1       75           45.1              4
     1       76           52.1              2
     1       78            8.8              3
     1       79            0.5              4
     1       80           66.9              2
     1       81           60.6              5
     1       82           17.3              3
     1       83           17.9              4
     1       85           71.7              4
     1       86          127.0              5
     1       88          135.0              3
     1       89           80.2              4
     1       90           30.7              4
     1       91           88.7              6
     1       92           93.7              2
     1       94          115.5              1
     1       96           75.2              6
     1       98          122.1              4
     1       99           15.9              3
     1      100          142.5              6
     2        2            0.3              2
     2        3           22.1              4
     2        4            2.1              1
     2        5           78.0              2
     2        6           36.4              3
     2        7          116.7              4
     2        8          142.6              4
     2        9           47.7              5
     2       10           12.4              2
     2       11          108.2              4
     2       12           35.4              4
     2       13            7.4              4
     2       14           30.6              5
     2       15           74.2              5
     2       16           98.8              5
     2       19            2.4              4
     2       20            6.4              5
     2       21          126.3              3
     2       24           47.7              3
     2       27           81.1              6
     2       29           74.2              3
     2       30           99.4              4
     2       31           52.1              4
     2       32            1.8              5
     2       33           64.9              5
     2       34          107.8              5
     2       36          138.8              3
     2       37            9.0              3
     2       38           36.7              4
     2       39          101.4              6
     2       40          114.4              5
     2       42           55.2              3
     2       43            5.4              2
     2       45           95.3              5
     2       46          136.1              3
     2       47          130.0              5
     2       48           78.3              2
     2       49           53.2              2
     2       50           20.7              4
     2       51          111.7              2
     2       55          108.7              1
     2       56           34.0              3
     2       57            4.2              2
     2       58           35.2              4
     2       59           74.8              2
     2       60            1.3              5
     2       62           64.6              3
     2       64           42.0              4
     2       65          140.0              2
     2       66           12.0              6
     2       68           90.8              4
     2       69           11.2              3
     2       71          123.0              5
     2       72           82.8              6
     2       74          110.6              2
     2       75           94.0              2
     2       78            3.2              1
     2       79          136.0              3
     2       80          101.6              3
     2       81           73.6              4
     2       83           85.3              3
     2       84           67.2              4
     2       85           97.1              5
     2       87          108.9              2
     2       88           73.5              5
     2       89           51.3              5
     2       90           23.9              6
     2       94           85.9              3
     2       96          117.9              4
     2       98           11.8              4
     2      100            7.7              3
     3        2           42.6              5
     3        3          137.2              5
     3        4          119.2              6
     3        5            8.6              3
     3        6          105.9              4
     3        7           47.3              5
     3        8           57.8              6
     3        9           31.3              5
     3       10           41.8              5
     3       11           92.6              3
     3       12           97.8              4
     3       13           80.5              4
     3       14           59.2              4
     3       15          137.1              4
     3       16          111.3              5
     3       17          123.6              5
     3       19          105.4              6
     3       20           66.2              3
     3       21           97.6              3
     3       22          125.7              4
     3       23           19.3              3
     3       25           73.6              4
     3       27          122.5              2
     3       29           16.3              2
     3       30           45.2              6
     3       31           87.5              6
     3       32           66.9              3
     3       33          105.0              6
     3       34           96.5              2
     3       35           74.8              5
     3       36           92.0              6
     3       37           95.1              5
     3       40          102.7              3
     3       41           33.1              5
     3       44           78.2              5
     3       46           42.6              5
     3       47          103.6              3
     3       48            0.1              3
     3       50           42.1              2
     3       51          114.7              3
     3       52           90.6              3
     3       54          102.3              2
     3       55          115.7              6
     3       56          100.4              3
     3       57           82.2              3
     3       58           29.7              5
     3       61           25.4              5
     3       64           20.0              5
     3       65          112.4              3
     3       66          125.9              3
     3       68           84.6              4
     3       69           52.9              3
     3       70          110.4              2
     3       72           34.3              4
     3       73          125.5              3
     3       74           48.6              2
     3       75          142.5              4
     3       77            6.1              2
     3       78           46.6              4
     3       79           10.9              5
     3       83            2.1              1
     3       85           15.6              4
     3       88           36.4              4
     3       89           87.6              4
     3       90           17.1              6
     3       91           72.8              3
     3       93           74.1              4
     3       94           30.0              4
     3       95           76.3              4
     3       96          107.4              3
     3       97          128.7              3
     3       98           81.2              5
     3       99           33.9              5
     3      100           23.7              2
     4        1           76.3              3
     4        2           63.9              4
     4        4           90.0              4
     4        5           48.9              4
     4        6           68.5              4
     4        7          121.8              1
     4        9          123.5              4
     4       10          141.1              4
     4       11          138.3              3
     4       12            9.5              3
     4       13          136.3              2
     4       14          111.6              5
     4       15          115.9              4
     4       16           25.1              3
     4       17           62.0              4
     4       18            5.8              2
     4       19          127.8              4
     4       20           88.0              2
     4       21          126.3              5
     4       22            8.8              6
     4       24          126.0              2
     4       25           92.5              5
     4       28           87.0              1
     4       29           12.9              4
     4       30            8.7              4
     4       31           98.6              5
     4       33           11.8              5
     4       34          116.2              5
     4       35           99.1              5
     4       36           62.4              5
     4       37           66.4              4
     4       38           62.8              3
     4       39           79.4              2
     4       41           56.1              5
     4       42           45.6              4
     4       43           72.1              1
     4       45          120.1              4
     4       48           81.6              4
     4       49          101.8              3
     4       51            5.7              2
     4       52           58.4              5
     4       53          100.5              5
     4       54          104.7              3
     4       55           98.4              5
     4       56           90.1              2
     4       57           92.2              3
     4       58           30.8              4
     4       59          124.1              3
     4       60          142.1              6
     4       61           50.4              2
     4       62          107.0              3
     4       63           87.0              5
     4       66            6.1              2
     4       67           75.7              2
     4       68           15.4              5
     4       69           30.8              2
     4       70           70.3              2
     4       71          132.9              4
     4       72          142.4              5
     4       73          134.8              3
     4       75           47.0              5
     4       76           51.3              4
     4       77          101.8              4
     4       78          135.9              4
     4       79           62.6              3
     4       80           46.3              4
     4       81           65.1              5
     4       84          128.8              1
     4       87          115.1              4
     4       88          102.7              1
     4       89           53.2              5
     4       90          110.5              4
     4       91          114.2              5
     4       92           64.3              6
     4       93           62.2              4
     4       94          128.3              5
     4       95           95.2              3
     4       96           68.6              4
     4       97          129.8              2
     4       99           60.3              3
     4      100          114.0              6
     5        2           60.6              3
     5        4           53.1              6
     5        5           94.6              1
     5        6           51.7              4
     5        7          102.0              5
     5        8          101.7              2
     5        9           18.6              4
     5       11          115.6              4
     5       12           63.7              2
     5       14           97.1              5
     5       15           64.4              4
     5       16          141.3              1
     5       18           12.2              1
     5       19           93.4              2
     5       23           77.6              4
     5       25          138.9              2
     5       27           66.7              5
     5       29           99.0              5
     5       30          100.6              4
     5       31          135.7              4
     5       33           29.3              3
     5       34          118.9              5
     5       38          124.4              5
     5       40           71.2              3
     5       42          133.3              4
     5       44          105.5              4
     5       47           87.7              2
     5       50           59.9              2
     5       51           28.6              6
     5       53            1.6              1
     5       54           91.8              6
     5       55           98.2              3
     5       57           20.3              3
     5       58           33.0              1
     5       59          114.4              2
     5       60           40.4              2
     5       61          114.1              5
     5       63           50.1              4
     5       64           32.9              6
     5       65            8.0              4
     5       66          108.5              5
     5       67           62.3              1
     5       69           71.0              2
     5       72           15.4              5
     5       73           96.2              5
     5       74           74.5              5
     5       76          132.2              3
     5       78           50.0              4
     5       80           93.0              1
     5       81           47.3              6
     5       83           43.0              5
     5       84          120.1              4
     5       86          100.4              5
     5       87           43.4              2
     5       88          116.8              4
     5       89           38.4              2
     5       93          106.5              3
     5       94          112.4              2
     5       95           47.3              5
     5       96            9.5              3
     5       97           82.5              4
     5       98           34.7              2
     5       99           11.6              3
     6        1           89.3              5
     6        4           25.2              3
     6        5           64.9              6
     6        6          118.4              4
     6        7           82.7              2
     6        9           73.8              6
     6       10           70.7              1
     6       11           28.7              1
     6       14          123.4              3
     6       15           38.2              6
     6       16           20.0              2
     6       19           37.7              5
     6       20           81.3              3
     6       21          114.9              2
     6       24            0.5              6
     6       26           57.9              6
     6       27            2.5              5
     6       28           88.9              4
     6       29          101.7              2
     6       30           94.0              4
     6       32           37.4              1
     6       33           39.8              5
     6       34           19.9              4
     6       36           97.1              5
     6       37           92.1              4
     6       38           22.4              5
     6       39           30.9              3
     6       40          107.8              4
     6       41          138.8              2
     6       43           49.7              3
     6       44          127.0              5
     6       45           15.4              3
     6       46           53.4              5
     6       47           54.1              4
     6       48           23.8              3
     6       51           61.1              5
     6       52            0.9              4
     6       53           80.8              2
     6       55          142.9              4
     6       57          110.5              3
     6       58           47.8              4
     6       59           20.0              6
     6       61           48.1              3
     6       63           62.6              6
     6       65           77.5              4
     6       66           25.2              5
     6       69           18.0              3
     6       71           14.5              5
     6       72           20.6              1
     6       73           10.9              6
     6       74            0.1              3
     6       75          127.3              1
     6       76          116.5              5
     6       78           23.3              3
     6       79          120.0              4
     6       80           46.1              2
     6       81           27.1              1
     6       82          133.0              2
     6       83           29.8              2
     6       84           40.7              4
     6       85           74.4              1
     6       87           28.7              6
     6       88          126.6              4
     6       89          122.1              4
     6       91          126.1              5
     6       92          119.0              2
     6       93           57.3              4
     6       94          112.0              3
     6       95            4.5              4
     6       96           27.4              5
     6       97          140.5              1
     6      100           25.7              2
     7        1          103.0              2
     7        2          124.5              2
     7        3           26.8              2
     7        4           64.6              6
     7        5          107.4              1
     7        7           34.6              5
     7        9           41.7              2
     7       11           44.1              4
     7       13          106.7              4
     7       15           63.7              6
     7       16           32.0              1
     7       17          129.0              3
     7       18           45.9              5
     7       19          118.7              4
     7       20          141.6              5
     7       21          117.8              4
     7       22          133.4              3
     7       23            6.0              6
     7       25           28.1              4
     7       26           61.6              1
     7       27            6.7              5
     7       28          140.1              3
     7       29           28.5              4
     7       30          125.6              5
     7       32          138.5              4
     7       33           34.9              6
     7       34           30.9              3
     7       35           31.7              5
     7       36          142.6              1
     7       37           72.2              2
     7       38          121.4              5
     7       39            2.0              2
     7       40            2.9              2
     7       42           41.5              1
     7       43          115.2              3
     7       44          103.9              5
     7       45          138.7              6
     7       46          142.4              2
     7       47          104.3              1
     7       49           51.7              4
     7       50          112.9              4
     7       51           49.5              4
     7       52          112.6              3
     7       53            6.7              4
     7       54          141.6              3
     7       55          123.5              1
     7       56          129.2              6
     7       57          114.6              6
     7       60           47.8              1
     7       61           87.9              2
     7       62          107.0              1
     7       63           47.6              5
     7       64           69.2              6
     7       65           51.5              4
     7       66           57.1              1
     7       67          129.1              1
     7       68           13.9              5
     7       71          117.7              5
     7       72          131.3              6
     7       77          124.6              3
     7       78          124.9              3
     7       79           96.8              6
     7       80           52.0              5
     7       81           95.0              1
     7       82          102.0              2
     7       83           87.7              6
     7       84           38.5              6
     7       85           85.6              2
     7       86          107.3              5
     7       87           46.4              3
     7       88           99.7              5
     7       89           83.7              5
     7       90           26.4              5
     7       92          132.6              5
     7       93           43.1              2
     7       96           64.9              4
     7       97           49.0              5
     7       98           65.3              2
     7       99           68.5              4
     7      100            2.5              5
     8        2           20.2              5
     8        3           88.4              4
     8        4           64.8              4
     8        5           94.6              2
     8        6          141.8              3
     8        7           58.8              2
     8        8           11.7              4
     8        9          108.8              1
     8       11           17.2              4
     8       12           43.5              3
     8       13           78.6              3
     8       15           58.1              6
     8       17           10.5              5
     8       18           30.6              5
     8       19           24.8              6
     8       20           79.2              1
     8       21          103.1              5
     8       22          121.7              6
     8       24          136.7              1
     8       25          104.1              6
     8       26          102.1              3
     8       27           82.9              2
     8       28          129.8              2
     8       29           14.7              3
     8       30          123.3              4
     8       32           97.7              3
     8       33           21.5              4
     8       35            1.8              3
     8       36          118.2              2
     8       37           39.1              6
     8       38          134.5              4
     8       40           41.0              3
     8       41           37.9              4
     8       43           68.6              5
     8       44           99.2              3
     8       45           98.0              2
     8       47          106.7              2
     8       49           20.3              3
     8       51           35.4              3
     8       54           47.4              6
     8       57           68.2              1
     8       58           23.0              5
     8       59            8.1              2
     8       61            0.8              5
     8       62          126.1              4
     8       63           51.5              4
     8       64           45.7              2
     8       65           20.5              2
     8       66            1.6              3
     8       67           26.7              2
     8       68           31.1              1
     8       69          123.3              6
     8       70           61.8              4
     8       71           97.5              4
     8       72           61.9              4
     8       73            9.0              3
     8       74            4.0              6
     8       75           77.9              2
     8       76            5.7              6
     8       77          128.0              3
     8       79          102.3              2
     8       80           34.2              3
     8       82          137.6              5
     8       83           69.7              5
     8       84           27.3              5
     8       85          131.9              3
     8       86          127.0              2
     8       89           99.8              6
     8       90          111.9              4
     8       91           60.9              6
     8       93           21.2              2
     8       95           20.6              1
     8       96          135.5              5
     8       97           58.8              6
     8       98           48.1              1
     8       99           37.7              5
     8      100          106.4              6
     9        3          106.5              4
     9        4           18.0              3
     9        7          125.8              2
     9        8           60.7              5
     9        9           34.9              3
     9       10           54.7              4
     9       13           49.9              3
     9       14           49.1              4
     9       17           18.8              4
     9       20           22.6              2
     9       21          118.6              5
     9       23           14.1              2
     9       25           78.1              4
     9       26          123.0              3
     9       27           43.2              5
     9       28           26.6              2
     9       29           80.9              2
     9       33           26.0              2
     9       34          103.5              3
     9       35           26.8              6
     9       36          100.2              2
     9       37           98.2              1
     9       38           56.5              2
     9       39           19.9              4
     9       40           80.8              5
     9       41          116.9              1
     9       43           26.1              5
     9       44          136.1              1
     9       45           26.8              4
     9       48          101.7              2
     9       49           69.0              3
     9       51          137.2              3
     9       53           37.5              2
     9       55          121.9              4
     9       56           68.3              1
     9       57           63.7              4
     9       58          116.1              4
     9       59           46.9              5
     9       60          126.2              4
     9       61           49.6              4
     9       62           89.8              2
     9       65           56.6              2
     9       66           61.5              5
     9       67           51.8              4
     9       68           49.9              5
     9       69          128.7              1
     9       70          105.7              2
     9       71           42.0              3
     9       72           77.9              4
     9       74          105.2              5
     9       75           73.0              3
     9       76          121.1              3
     9       77           27.8              5
     9       78           89.7              2
     9       79           73.3              3
     9       80          135.9              5
     9       82           26.9              6
     9       84          106.5              4
     9       85           53.2              1
     9       86           51.8              4
     9       87           17.7              4
     9       88          114.8              2
     9       90          118.6              4
     9       91           61.3              3
     9       92            0.9              5
     9       93          125.3              4
     9       95          120.2              3
     9       96            3.4              2
     9       98            3.3              5
     9      100          140.3              3
    10        2          141.9              2
    10        3           69.3              3
    10        4            3.9              6
    10        5           23.2              3
    10        6          118.5              4
    10        7          140.0              3
    10        8          119.8              3
    10        9          130.5              3
    10       10           14.6              6
    10       11          116.6              3
    10       13           55.5              3
    10       19          137.9              6
    10       20          139.7              2
    10       22            9.3              3
    10       23           41.9              5
    10       24           36.5              1
    10       25            2.1              1
    10       26          104.2              2
    10       27           26.9              2
    10       28          119.3              4
    10       30           49.6              3
    10       31           80.6              6
    10       32          113.5              3
    10       33           67.8              6
    10       35           77.2              5
    10       36           41.7              6
    10       37            4.3              5
    10       38            0.1              4
    10       39           29.4              6
    10       41          126.0              6
    10       42           75.4              5
    10       44           56.0              3
    10       48           70.4              5
    10       49           38.5              5
    10       50          101.9              6
    10       53           74.6              4
    10       54           30.5              4
    10       56            3.8              5
    10       57           72.5              4
    10       59           59.5              5
    10       60           33.6              2
    10       61           92.1              3
    10       62           74.1              5
    10       64           41.8              4
    10       65           16.4              2
    10       66           94.1              3
    10       67           99.0              2
    10       68          108.6              3
    10       69          110.1              4
    10       70           75.4              5
    10       72          138.2              5
    10       73           46.0              2
    10       75           52.8              6
    10       76           45.7              3
    10       78           48.8              4
    10       79          105.5              1
    10       80           89.6              1
    10       81           81.2              4
    10       82           64.6              5
    10       85           56.6              2
    10       87           89.1              6
    10       88           14.6              6
    10       91            3.1              1
    10       92           55.4              3
    10       93            1.0              5
    10       94          142.0              5
    10       95          125.0              2
    10       97           26.6              4
    11        1            9.5              6
    11        2           54.7              2
    11        3          111.1              3
    11        4           38.0              4
    11        6           12.6              2
    11        8          114.6              4
    11       11          130.8              2
    11       13           50.3              4
    11       14           42.9              1
    11       15           35.7              4
    11       18           34.5              3
    11       21           66.1              4
    11       22           49.2              4
    11       24          122.6              3
    11       25          114.2              2
    11       26           14.2              2
    11       27           72.6              3
    11       29            4.5              4
    11       31          107.4              4
    11       33           67.2              5
    11       34          141.6              5
    11       37           85.4              1
    11       38           50.9              5
    11       39          125.9              5
    11       40           61.8              4
    11       41          116.7              3
    11       42           76.0              2
    11       43           87.6              5
    11       45          128.3              1
    11       46           53.9              3
    11       47          104.5              6
    11       49          107.3              6
    11       53            9.1              4
    11       55           41.7              3
    11       56          122.0              3
    11       58           87.7              3
    11       61           47.8              2
    11       63           76.2              5
    11       64           93.5              2
    11       65          129.2              5
    11       67           50.0              6
    11       68           50.5              4
    11       69           39.3              3
    11       70           39.9              2
    11       71           69.4              4
    11       72           24.3              5
    11       74            3.8              2
    11       75           19.0              2
    11       76          118.0              5
    11       77           10.7              3
    11       79          119.9              4
    11       81           90.1              1
    11       83          109.7              4
    11       84          119.9              1
    11       85           88.8              4
    11       86          107.6              2
    11       88           68.6              2
    11       92           98.4              3
    11       93           85.2              3
    11       94           14.9              3
    11       95            8.4              5
    11       96           55.1              1
    11       99          117.1              6
    11      100          119.3              3
    12        1           70.7              4
    12        2           81.1              5
    12        4           24.3              4
    12        5           24.9              5
    12        6            4.8              2
    12        9           71.0              5
    12       11          138.7              2
    12       15           71.5              5
    12       17           94.8              3
    12       18           52.0              1
    12       23           12.2              5
    12       24           87.8              4
    12       26           66.8              2
    12       27          104.0              4
    12       28          130.9              4
    12       29          108.7              6
    12       30          110.2              3
    12       32          133.9              5
    12       34          112.6              2
    12       36           13.7              5
    12       38          122.7              2
    12       40          117.6              6
    12       41            7.0              5
    12       42           83.1              5
    12       44            8.3              2
    12       45           61.0              2
    12       46           80.0              4
    12       47           85.8              6
    12       49            7.2              1
    12       50          109.7              6
    12       51          133.6              1
    12       52          141.9              6
    12       53           12.7              5
    12       54          124.3              4
    12       55          137.0              5
    12       56           44.7              1
    12       57           10.8              3
    12       58           23.9              5
    12       61           11.8              4
    12       62           77.2              2
    12       63           53.6              3
    12       66            5.4              3
    12       67           98.1              2
    12       68           44.8              1
    12       70           54.2              1
    12       71           84.9              4
    12       74           66.6              3
    12       77           64.2              2
    12       78           27.8              6
    12       79           62.3              2
    12       80           44.3              2
    12       82           46.5              5
    12       83           12.4              3
    12       84           44.4              6
    12       85          109.4              5
    12       87           91.6              4
    12       89           40.4              2
    12       90           35.3              2
    12       91          130.5              3
    12       92          138.7              5
    12       93          125.5              4
    12       94           14.4              5
    12       95          108.8              4
    12       96          116.9              2
    12       97          117.8              6
    12       98           75.3              5
    12      100           45.0              6
    13        1          106.7              2
    13        2           81.1              2
    13        3           96.3              4
    13        4           61.2              4
    13        9            5.4              3
    13       11          100.8              3
    13       12            9.8              5
    13       13           76.0              6
    13       15           78.6              3
    13       17           24.1              6
    13       18           16.0              1
    13       19           36.3              1
    13       20            9.6              5
    13       21          111.7              6
    13       22           31.1              3
    13       23            6.8              5
    13       26          102.5              6
    13       27           88.2              4
    13       28           66.9              5
    13       29           16.0              4
    13       30           31.0              4
    13       31           37.8              2
    13       32          101.5              5
    13       33          106.3              6
    13       35           57.2              5
    13       36          137.4              1
    13       37           70.0              3
    13       38           83.8              3
    13       40          112.5              5
    13       44          137.9              5
    13       45          111.0              5
    13       46          118.2              5
    13       47           78.3              3
    13       49           97.3              5
    13       50           97.1              2
    13       51           58.3              2
    13       52           59.1              5
    13       53           85.8              5
    13       55           67.0              6
    13       58           85.7              4
    13       59           70.6              2
    13       62          106.3              5
    13       63          115.3              2
    13       65          113.9              1
    13       66           97.3              5
    13       67          123.6              3
    13       68           54.7              6
    13       69           71.7              3
    13       70           48.6              3
    13       71          126.4              5
    13       73            8.6              5
    13       75          116.0              1
    13       76           51.6              3
    13       77           94.4              2
    13       78           98.1              5
    13       79           83.8              5
    13       80          103.6              2
    13       81          128.4              1
    13       82          104.8              2
    13       84           99.2              4
    13       85          138.2              2
    13       86           51.8              3
    13       89           38.3              4
    13       90          120.2              5
    13       91           14.2              4
    13       92           63.2              3
    13       93          107.2              4
    13       94           54.2              6
    13       95           97.4              2
    13       96          113.8              1
    13       97           19.7              4
    13       98           58.3              3
    13       99           39.9              4
    13      100          100.7              3
    14        1           16.6              4
    14        2          134.2              2
    14        3           37.8              1
    14        4           62.6              1
    14        6           16.3              1
    14        7          106.4              5
    14        8           57.1              1
    14       10           25.8              6
    14       13           58.3              6
    14       14           73.8              3
    14       16            6.3              2
    14       17           99.8              5
    14       18           38.8              5
    14       19           75.4              2
    14       21           82.0              4
    14       23          102.8              5
    14       26          114.5              2
    14       27           88.5              5
    14       28           70.3              3
    14       29           71.7              4
    14       30            3.8              5
    14       31           20.6              1
    14       33            3.1              4
    14       34           38.9              5
