
Code  20
Dimension   Fixed Cost    Capacity  
   100            100         10   
Facility  Client  Transportation Cost   Demand
     1        1           87.1              2
     1        2           25.9              3
     1        3           79.0              6
     1        4           68.1              2
     1        8          120.1              5
     1        9           45.8              3
     1       10           71.5              1
     1       11          118.3              5
     1       12          118.7              4
     1       13          142.5              5
     1       14           57.3              4
     1       15           62.3              2
     1       16          131.3              3
     1       18           42.6              1
     1       19           99.5              4
     1       27           14.2              5
     1       28           31.9              3
     1       30           83.8              5
     1       33           98.8              2
     1       35           77.6              3
     1       37           51.2              4
     1       38          114.3              4
     1       39           79.8              3
     1       40          126.7              2
     1       42           65.0              2
     1       43           34.2              5
     1       44           29.8              5
     1       45          143.0              5
     1       48           45.8              6
     1       49           73.9              5
     1       50          127.7              5
     1       51           26.2              4
     1       56           36.2              3
     1       58           45.9              2
     1       59          129.7              2
     1       60          119.4              5
     1       61          138.6              6
     1       62            2.8              4
     1       63           92.8              4
     1       64           15.8              4
     1       67          117.2              6
     1       68           99.1              4
     1       71            6.4              5
     1       72           84.9              4
     1       73           85.9              3
     1       74           38.7              1
     1       75           88.9              3
     1       77           89.0              5
     1       78           74.7              3
     1       79           86.7              5
     1       80            4.9              2
     1       81            5.9              2
     1       82           48.2              2
     1       83           15.7              3
     1       84           59.0              1
     1       85          101.8              2
     1       86          110.1              1
     1       87           43.0              5
     1       88          124.0              4
     1       89           13.8              5
     1       91           78.6              2
     1       92           66.3              5
     1       94           56.1              5
     1       97           67.4              4
     1       99          114.9              2
     1      100           82.5              3
     2        1          130.4              6
     2        2           60.4              4
     2        4           60.6              1
     2        5           18.4              5
     2        6          138.4              4
     2        8          112.2              4
     2        9           95.0              2
     2       11           18.0              5
     2       13          101.3              2
     2       14           77.9              3
     2       15          115.7              6
     2       17          110.5              6
     2       18          116.4              1
     2       21           28.6              4
     2       22          125.0              2
     2       23          101.0              5
     2       25           78.1              2
     2       26           75.9              6
     2       27           74.6              2
     2       32           40.5              6
     2       33           71.4              2
     2       34           67.0              5
     2       35           51.6              5
     2       36          129.8              2
     2       38           11.5              2
     2       39           46.3              2
     2       40          109.5              2
     2       41           70.1              3
     2       42          100.8              2
     2       46            0.4              3
     2       47           36.3              3
     2       48           16.4              4
     2       50           29.5              4
     2       51           36.8              6
     2       53           15.4              2
     2       54           87.6              5
     2       55          124.6              3
     2       56           32.4              6
     2       57          136.0              5
     2       58           99.8              5
     2       59          139.5              3
     2       60           31.7              4
     2       61           11.4              4
     2       62           62.7              5
     2       63           63.3              1
     2       65           47.3              4
     2       66           53.1              4
     2       68           13.4              6
     2       69            6.3              2
     2       71          105.9              1
     2       72          103.6              5
     2       73           24.3              2
     2       74           21.2              4
     2       75           52.2              1
     2       76           77.1              2
     2       77          100.7              3
     2       78           89.6              2
     2       79           73.4              4
     2       80           85.7              4
     2       81           53.7              1
     2       82          126.6              4
     2       83          134.3              2
     2       84           57.7              3
     2       85           95.2              3
     2       86           33.9              4
     2       87          121.8              4
     2       88           15.5              3
     2       90          104.5              3
     2       91          114.3              3
     2       94           57.2              5
     2       96          109.9              5
     2       99           49.0              3
     2      100           22.3              4
     3        4          118.4              4
     3        5           46.1              4
     3        6           10.3              2
     3        7           72.5              5
     3        8           14.3              5
     3        9           26.1              2
     3       10           59.0              4
     3       11           14.7              4
     3       14           69.1              6
     3       15           27.9              5
     3       17          107.0              3
     3       18           31.6              5
     3       20           14.2              2
     3       22           27.6              2
     3       23            5.5              2
     3       25           93.3              4
     3       26           89.0              1
     3       27           66.6              4
     3       28           34.1              4
     3       29           81.6              6
     3       30           21.5              2
     3       31           99.6              4
     3       32          121.2              6
     3       38           89.1              1
     3       39           27.8              5
     3       40          117.3              5
     3       42           76.1              2
     3       43           50.1              6
     3       44           90.5              6
     3       45           18.7              2
     3       47          120.6              3
     3       48            3.7              2
     3       49           20.1              1
     3       51           77.5              2
     3       54           23.0              3
     3       55           27.4              5
     3       57           62.4              3
     3       58            8.6              4
     3       59           62.6              2
     3       60            5.5              2
     3       61           88.4              4
     3       62           48.8              4
     3       63           88.2              3
     3       66          112.6              3
     3       67            4.0              4
     3       68          138.1              3
     3       72           63.4              6
     3       73           42.6              4
     3       74            8.8              3
     3       75          127.3              3
     3       76          130.3              4
     3       77          135.4              5
     3       80           64.7              3
     3       81           71.0              5
     3       83          137.4              6
     3       84          127.9              2
     3       86          116.6              3
     3       87          111.3              4
     3       88           97.9              2
     3       91           60.6              2
     3       92           91.2              5
     3       94           34.1              5
     3       95           92.2              3
     3       96           87.7              4
     3       97          125.2              2
     3       98           25.2              5
     3      100            4.6              2
     4        4          109.3              1
     4        5           41.6              5
     4        7           14.5              2
     4        8          104.1              4
     4        9           28.4              4
     4       10          120.9              4
     4       11            2.4              2
     4       12           55.5              5
     4       13          129.7              4
     4       14           18.8              5
     4       15           12.8              2
     4       17           20.8              3
     4       18           28.5              1
     4       19           74.9              5
     4       22           79.8              2
     4       23           36.9              3
     4       24           44.3              2
     4       27           20.2              2
     4       28          141.6              4
     4       32          137.6              2
     4       34           20.4              2
     4       37           22.1              5
     4       39           78.4              5
     4       40           70.1              2
     4       41           41.8              4
     4       43            9.0              6
     4       45           77.9              2
     4       46            7.2              4
     4       47            8.6              1
     4       49           76.9              3
     4       50           21.2              3
     4       51            5.2              2
     4       54           98.0              2
     4       55           50.7              3
     4       56          139.5              5
     4       57          140.1              5
